0,1,2,3,4,5,6,7,8,9,10,11,12
8.0,2.3638071114220103,3.0,3.8913989962296416,8.0,4.962660711494989,3.0,6.1372455068812934,27.0,6.7473839788433025,8.0,8.159022306624735,0.4860000000000002
8.0,3.0664625652817223,27.0,3.3195451006694072,3.0,3.7500030576219285,3.0,3.762634340216438,3.0,4.132821093895664,3.0,4.4692119436569255,0.7029999999999998
3.0,5.950787880265825,3.0,6.078520402029226,8.0,6.189937474755132,3.0,6.4579042349546745,8.0,6.73156758665831,3.0,7.445144829142158,0.2270000000000001
8.0,0.6195659767680525,25.0,1.5829242785714328,25.0,1.6111895882154297,3.0,1.8186387118318283,25.0,2.8244409185752892,8.0,2.9193286126786475,0.42700000000000005
3.0,2.5091198190039696,8.0,3.579743313583632,27.0,3.7529642701874204,8.0,3.999836669890821,3.0,4.857387426149152,27.0,5.032830547661712,8.38
8.0,3.3485534031773048,27.0,3.7821976472360253,3.0,4.397505293530437,8.0,4.408015691551099,8.0,4.814202627371607,27.0,4.915388831850261,8.892
3.0,2.1850103008071073,3.0,2.5921432893690493,8.0,2.7460615570463345,3.0,3.056924305586581,8.0,3.5699386741858237,8.0,3.988845058690734,1.2510000000000001
3.0,1.390472672687405,8.0,1.6562570360199684,8.0,1.7122056760634525,3.0,2.2464231308693767,25.0,2.3594153463683525,8.0,2.3753229780405536,1.291
3.0,2.035467362458155,8.0,2.4843607603181743,3.0,2.8870974970284933,8.0,3.2772459407427768,8.0,3.521653807749645,27.0,3.717366407987906,1.279
3.0,0.7693737646680797,8.0,1.7928771500232923,8.0,1.8667557999562991,8.0,1.8923350855967953,3.0,2.0878983174988024,3.0,2.0971469792182362,0.2869999999999999
8.0,2.888606227727128,27.0,3.2488979086309207,3.0,3.7713964480289013,3.0,4.279421005875336,3.0,4.816179513528329,8.0,4.9913303660462045,0.6040000000000001
3.0,0.8225910427189763,8.0,1.811816856772031,8.0,1.8969533881632832,8.0,1.9342139148750452,3.0,2.026107406275705,3.0,2.132148207231328,0.2250000000000001
8.0,1.8030243978274336,8.0,1.9775621237871774,3.0,2.0782019104935574,3.0,2.3517991251705364,8.0,2.686512987736444,27.0,2.6898738345356907,0.31099999999999994
3.0,1.1591970921006212,3.0,1.4619867943263978,8.0,1.816115568940315,8.0,2.8362795318836564,3.0,2.8628502776935707,3.0,2.8762012761504896,0.32800000000000007
27.0,0.7018235048842016,27.0,1.9243142946957752,8.0,2.2904408318660625,3.0,2.4125326721432967,8.0,2.4788512535241334,8.0,2.534194859138871,1.5180000000000002
8.0,1.586391845694794,27.0,3.2363267354440732,27.0,3.256773939487801,8.0,3.5656913292333345,8.0,4.222311515132862,27.0,4.475412254149602,2.192
27.0,2.2525804988309233,8.0,2.2777587447200967,27.0,2.5837723522268186,3.0,2.907661498708468,8.0,3.018094500684858,8.0,3.855003858907038,0.5699999999999998
8.0,2.0778846409890237,3.0,3.039799356191355,3.0,3.066894718879693,3.0,3.8257793642823565,3.0,3.8754795872807044,8.0,4.251672162456914,0.24099999999999988
8.0,1.1246425759848724,27.0,1.7850526855519815,3.0,1.9541883636699824,8.0,2.629549784320312,27.0,2.6714601286225954,8.0,3.0653889063496003,6.535
8.0,2.182257604130685,27.0,3.687762366762867,8.0,3.732601043585363,27.0,3.9486838628269956,27.0,3.9525733170074444,27.0,4.7297178412936995,8.519
27.0,2.2629096772179973,8.0,2.3053080903582677,3.0,3.5656453408530973,8.0,3.57298111556506,27.0,3.683188648470326,27.0,4.246343839248875,8.784
8.0,0.7305621979300491,27.0,2.3128499125300896,27.0,2.5325906439224872,3.0,2.539398345319228,8.0,2.6847174430927,27.0,2.7346915310911983,8.344
3.0,7.924625058847238,8.0,8.298756619700042,27.0,9.131622024256739,8.0,9.435706813831423,3.0,9.73658342402717,8.0,10.259801314642512,1.2959999999999998
8.0,5.933685832822642,3.0,6.173291205812942,8.0,6.4915975257895076,27.0,6.804737949979535,27.0,7.390174338499359,3.0,7.833872940960122,1.3449999999999998
3.0,1.3595520152748761,8.0,1.5377858749350923,3.0,2.131471076905135,8.0,2.3726422664877873,3.0,2.814948189193511,27.0,3.1774399313735655,1.353
8.0,1.8393503892409364,8.0,1.9164638074041178,27.0,2.0011898667692365,8.0,3.3230897096343655,27.0,3.448206616034328,8.0,4.402251145664241,1.2850000000000001
8.0,0.630845317252229,27.0,2.049253420423128,8.0,2.413270891489475,27.0,2.418980263688153,8.0,2.853932579617665,3.0,3.4179403927560355,1.339
27.0,1.4947555932868875,8.0,3.9496065038230292,3.0,7.484818594670728,3.0,9.668957576976943,8.0,25.233009023972087,27.0,28.99965018101561,11.1
8.0,3.5123384931644077,8.0,4.03223848906403,3.0,4.419821283143045,3.0,4.460914816970318,3.0,6.600433091850867,8.0,6.936283561352454,11.212
3.0,1.3356532586136518,27.0,1.5727174783107898,8.0,2.991993321449406,27.0,3.0272396147780367,27.0,3.072269581521903,8.0,3.131186382399055,1.127
3.0,1.679384506241832,8.0,3.245302876973997,27.0,3.3876208813900024,27.0,4.0385072737337,27.0,4.352045591905659,8.0,4.534323974014851,1.258
27.0,1.2310920107948782,8.0,1.676113936534251,8.0,2.301358514653937,8.0,3.013453020516773,3.0,3.2482624639520243,8.0,4.1345474950729,12.687999999999999
8.0,2.596153052850925,8.0,3.0832874122916754,25.0,3.493109385008742,8.0,3.9228827973375973,25.0,4.071642402417401,25.0,4.076101139022571,0.371
8.0,3.614072530653522,8.0,3.8418606383791647,8.0,4.89783688121111,8.0,5.8935857384157195,3.0,7.627884990010767,3.0,8.06877174156688,0.6300000000000001
8.0,1.3747979905777286,25.0,1.493498435927738,8.0,2.1898378481355816,25.0,2.3953269554681667,3.0,3.2064541013842214,3.0,3.3272649391631424,14.72
3.0,0.922579759627814,3.0,1.8110750962744318,8.0,1.8538194709256341,8.0,1.8839653639317075,3.0,2.1783782275779067,3.0,2.777512251008594,0.29200000000000026
8.0,2.57645266628574,27.0,2.9975073346386143,27.0,3.888958541695365,3.0,3.979270799853266,8.0,4.098375830590387,8.0,4.464325231108125,0.7999999999999998
8.0,0.7101190281128333,27.0,2.2482455828210903,27.0,2.4147502451157985,3.0,2.5091637917264094,8.0,2.5269708826105033,27.0,2.666026581811291,0.7389999999999999
